#gene	-GlcN01	-GlcN02	-GlcN03	-GlcN04	-GlcN05	-GlcN06	+GlcN01	+GlcN02	+GlcN03	+GlcN04	+GlcN05	+GlcN06
ENSMUSG00000085214	641	542	776	676	545	787	491	791	368	699	243	1072
ENSMUSG00000096956	73	17	47	21	54	15	32	29	63	24	79	34
ENSMUSG00000021252	2359	1563	2497	1460	1600	1522	2126	2149	1296	1075	1010	2422
ENSMUSG00000046840	39	165	124	357	33	127	83	144	31	48	7	128
ENSMUSG00000044062	1	0	3	0	1	0	6	1	0	1	0	1
ENSMUSG00000007777	292	184	220	170	218	199	228	237	270	178	202	309
ENSMUSG00000037361	421	300	380	312	353	353	316	393	310	270	366	519
ENSMUSG00000043644	16	5	7	5	10	7	6	6	8	2	18	10
ENSMUSG00000024442	812	566	727	496	632	629	569	784	692	435	529	959
ENSMUSG00000042208	445	273	375	297	387	406	305	410	399	320	395	510
ENSMUSG00000020831	5	4	5	4	12	5	6	6	3	0	9	6
ENSMUSG00000025731	1259	942	1113	1149	1100	1599	888	1585	1076	1265	527	2096
ENSMUSG00000096232	394	309	396	300	356	339	261	417	306	291	376	528
ENSMUSG00000055312	53	53	59	51	54	48	43	63	35	14	16	95
ENSMUSG00000058706	948	581	835	563	839	677	716	927	622	576	872	1127
ENSMUSG00000001418	1440	813	1052	913	1203	998	1092	1044	1168	901	1636	1609
ENSMUSG00000028608	305	208	262	204	277	220	229	273	225	198	240	341
ENSMUSG00000089900	3	3	2	2	3	2	7	4	5	2	5	4
ENSMUSG00000058812	51	30	45	31	45	39	41	32	35	44	81	69
ENSMUSG00000089889	15	5	21	8	15	13	12	22	9	14	3	18
ENSMUSG00000087341	82	84	69	91	119	113	145	96	93	84	75	261
ENSMUSG00000060512	621	495	565	543	473	725	399	691	591	487	284	827
ENSMUSG00000087361	26	13	20	18	13	30	18	26	10	14	10	29
ENSMUSG00000051748	5290	4503	5667	7411	5220	6968	8817	5797	1277	5004	3776	8726
ENSMUSG00000062691	135	92	121	109	101	112	113	141	105	84	121	164
ENSMUSG00000019689	341	270	361	325	244	339	194	400	200	283	135	479
ENSMUSG00000071456	38	19	25	41	30	27	22	29	43	39	48	53
ENSMUSG00000022972	221	148	167	145	141	222	172	215	203	149	128	274
ENSMUSG00000030663	1070	597	798	560	825	700	671	862	776	542	832	1025
ENSMUSG00000037960	194	88	114	90	168	119	106	114	119	97	306	152
ENSMUSG00000027637	779	632	672	637	609	760	570	820	868	582	583	1000
ENSMUSG00000029600	6	3	1	6	6	11	6	1	5	1	7	3
ENSMUSG00000021023	249	234	221	217	208	174	184	237	194	154	150	299
ENSMUSG00000039195	163	90	166	136	144	149	216	145	199	87	164	197
ENSMUSG00000045237	267	222	288	211	235	218	198	217	183	188	162	324
ENSMUSG00000028441	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000097616	41	27	32	35	29	21	33	33	48	21	37	46
ENSMUSG00000097047	12	15	23	9	17	9	9	12	13	7	6	29
ENSMUSG00000085972	24	7	25	20	33	18	19	25	104	13	11	42
ENSMUSG00000037971	480	419	491	402	385	471	343	577	361	319	256	695
ENSMUSG00000046999	0	0	1	0	0	0	1	0	0	0	0	0
ENSMUSG00000044991	176	58	126	84	105	78	103	123	256	78	86	164
ENSMUSG00000086191	5	3	4	1	5	4	2	6	2	4	4	3
ENSMUSG00000097036	0	0	0	0	0	0	0	0	0	0	0	1
ENSMUSG00000040720	807	491	596	492	655	530	568	621	542	442	869	833
ENSMUSG00000092203	75	46	59	41	43	53	28	40	65	59	57	71
ENSMUSG00000063236	196	91	125	111	164	94	110	129	127	76	160	176
ENSMUSG00000085457	10	5	8	5	11	5	9	4	4	10	16	10
ENSMUSG00000040591	52	34	59	40	50	20	39	39	24	37	66	59
ENSMUSG00000097867	125	152	200	157	113	154	139	205	82	81	96	203
ENSMUSG00000037669	63	43	39	53	57	65	35	45	45	61	46	89
ENSMUSG00000026154	298	233	285	225	196	236	231	296	211	167	177	324
ENSMUSG00000035171	488	227	316	292	331	364	257	378	300	234	271	509
ENSMUSG00000032551	328	126	195	147	241	303	153	278	192	133	233	378
ENSMUSG00000037086	0	0	0	0	0	0	0	0	1	0	0	0
ENSMUSG00000078570	129	50	72	98	102	100	44	86	109	85	68	140
ENSMUSG00000045414	1179	854	813	945	957	1298	640	1108	894	932	853	1585
ENSMUSG00000096537	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000043687	72	59	69	72	77	88	42	80	64	90	22	139
ENSMUSG00000063320	47	29	43	40	31	30	25	43	29	23	23	53
ENSMUSG00000020783	491	222	312	269	389	382	300	407	381	312	431	498
ENSMUSG00000097290	253	122	210	134	152	134	126	150	160	100	159	219
ENSMUSG00000028327	2650	1496	2279	1391	1586	1705	2932	2340	1618	1262	1011	2903
ENSMUSG00000087382	433	112	307	65	186	100	114	140	121	246	81	284
ENSMUSG00000033688	11175	8162	11448	10631	7719	10105	9133	11522	6616	8349	4488	14095
ENSMUSG00000087264	1	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000068099	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000087651	1	1	0	0	1	1	0	0	0	2	1	0
ENSMUSG00000072694	58	13	20	16	44	16	26	15	17	23	116	36
ENSMUSG00000051319	186	177	170	227	161	150	164	149	229	80	164	188
ENSMUSG00000074578	356	143	234	240	294	192	122	179	142	232	278	253
ENSMUSG00000097247	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000094732	0	2	1	0	0	0	0	2	0	0	1	2
ENSMUSG00000026051	1	0	0	0	1	1	1	1	1	0	1	1
ENSMUSG00000087211	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000087579	62	81	134	224	93	126	28	343	91	133	14	346
ENSMUSG00000086899	1	0	0	0	2	0	0	0	0	0	1	0
ENSMUSG00000024118	1225	363	383	387	1200	2056	459	2160	664	1321	538	2592
ENSMUSG00000035595	61	46	59	59	60	66	59	54	39	53	52	72
ENSMUSG00000050088	51	20	29	22	33	24	24	37	42	22	45	38
ENSMUSG00000054676	321	178	294	188	224	218	187	249	260	218	141	363
ENSMUSG00000094690	0	0	0	0	0	0	0	0	0	1	2	1
ENSMUSG00000035491	0	1	1	0	0	0	0	0	0	0	0	0
ENSMUSG00000029813	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000025500	54	15	39	25	38	29	44	28	36	19	30	55
ENSMUSG00000097048	22	17	11	16	26	18	12	23	23	18	16	26
ENSMUSG00000085114	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000032068	95	33	60	37	55	62	58	83	32	31	47	59
ENSMUSG00000046242	1	0	1	2	0	0	1	1	0	0	0	4
ENSMUSG00000057818	0	0	1	0	2	0	0	1	1	2	0	3
ENSMUSG00000029182	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000047150	71	57	82	73	63	74	58	79	34	61	26	114
ENSMUSG00000095384	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000085984	1	0	0	0	0	0	0	0	0	0	1	0
ENSMUSG00000044744	1	1	1	0	1	2	1	1	4	2	1	3
ENSMUSG00000095040	1	0	0	0	0	0	0	0	0	0	1	0
ENSMUSG00000056508	2	0	1	1	1	0	1	2	0	2	1	2
ENSMUSG00000075511	369	208	462	275	273	346	271	474	273	273	218	630
ENSMUSG00000021534	2	0	1	1	0	0	0	1	0	1	0	0
ENSMUSG00000044320	2	0	0	0	1	0	0	1	0	0	1	1
ENSMUSG00000018543	0	0	0	0	0	0	0	0	1	0	0	0
ENSMUSG00000085944	8	3	5	2	3	4	2	2	2	2	2	5
ENSMUSG00000030030	19	21	24	20	18	20	19	30	10	17	15	37
ENSMUSG00000038523	14	1	1	5	9	2	1	2	9	3	13	4
ENSMUSG00000086327	30	17	16	11	36	7	15	12	20	19	66	19
ENSMUSG00000085831	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000087621	0	0	0	1	0	0	0	0	0	0	0	0
ENSMUSG00000039174	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000028294	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000085389	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000027973	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000010841	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000031620	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000057816	0	1	0	0	0	0	1	0	0	0	1	1
ENSMUSG00000086330	15	7	7	6	3	6	11	9	4	7	7	14
ENSMUSG00000030858	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000026831	1	0	0	1	0	1	1	0	6	1	0	3
ENSMUSG00000097318	20	12	21	17	23	26	23	19	24	16	21	32
ENSMUSG00000089730	1	0	0	0	1	0	1	2	1	0	1	0
ENSMUSG00000020270	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000056018	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000058252	2	0	0	0	0	1	0	1	1	0	1	0
ENSMUSG00000008028	0	0	2	0	1	1	1	0	1	1	1	1
ENSMUSG00000069118	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000096573	4	0	0	0	1	0	0	1	1	0	2	1
ENSMUSG00000028287	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000026649	36	31	30	27	40	19	35	25	28	30	73	38
ENSMUSG00000057047	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000071721	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000023873	14	3	6	13	10	4	10	8	3	7	19	16
ENSMUSG00000092599	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000063971	1	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000036557	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000021850	40	10	11	12	10	10	12	27	12	12	8	15
ENSMUSG00000058925	2	0	0	0	2	0	0	0	0	0	0	6
ENSMUSG00000063714	44	23	38	24	30	25	22	36	14	16	33	39
ENSMUSG00000031682	0	0	3	1	0	0	1	0	0	0	0	0
ENSMUSG00000079476	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000029766	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000020617	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000031927	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000079179	204	146	187	153	195	177	126	179	122	112	150	210
ENSMUSG00000096571	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000028589	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000079346	0	0	0	0	1	0	0	0	0	0	0	0
ENSMUSG00000027886	0	0	1	0	0	0	0	0	0	0	0	0
ENSMUSG00000085260	0	0	2	0	0	0	1	0	0	0	1	0
ENSMUSG00000041399	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000054727	0	0	0	0	0	0	0	0	0	0	1	0
ENSMUSG00000042800	4	2	2	0	2	3	1	1	0	0	2	2
ENSMUSG00000079666	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000094445	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000015962	1	0	0	1	2	0	0	0	1	0	0	0
ENSMUSG00000031509	0	0	0	0	0	0	0	1	1	0	1	0
ENSMUSG00000029320	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000053783	0	0	0	0	0	0	0	1	1	0	0	0
ENSMUSG00000032300	349	112	164	159	306	200	162	195	312	215	311	409
ENSMUSG00000024729	0	0	0	0	0	0	0	0	0	0	1	0
ENSMUSG00000037884	0	0	0	0	0	0	0	0	0	0	1	0
ENSMUSG00000086348	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000056912	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000038408	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000033993	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000031809	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000037910	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000058935	0	0	0	0	2	0	0	0	0	0	0	0
ENSMUSG00000029620	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000060715	0	0	0	0	1	1	0	2	0	1	0	0
ENSMUSG00000040340	0	1	0	1	0	0	0	2	0	0	0	1
ENSMUSG00000085757	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000043629	2	0	2	1	1	0	0	0	1	0	1	0
ENSMUSG00000086202	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000068299	128	87	144	100	87	96	82	113	100	64	70	163
ENSMUSG00000085416	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000038987	9	3	4	3	1	4	6	1	4	1	3	3
ENSMUSG00000059695	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000026931	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000036574	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000027409	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000085438	59	35	30	38	54	48	32	50	51	35	49	65
ENSMUSG00000035085	2	0	1	0	8	1	4	2	4	1	3	2
ENSMUSG00000050844	0	1	1	0	2	0	1	0	0	0	1	2
ENSMUSG00000059690	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000019797	298	227	276	245	201	304	202	324	239	193	177	375
ENSMUSG00000027518	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000035629	5	2	5	1	5	4	3	5	4	6	6	5
ENSMUSG00000087343	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000038165	0	0	0	0	0	0	0	0	0	0	0	0
